# FormFair Held-Out Evaluation Protocol v1.0, section 2
# tag=evaluation-v1.0.0
# frame_sha256=11a0bcd30489648050dc287775d88cc4d99c54e2c9022b7226f157796df8c3ce
# agencies=45
position,agency,draw_key
1,Te Puni Kōkiri,001af18ce514a7249255d3ae97336d9b47305e3dd8dde19c3ff955a07a3da528
2,Family Violence and Sexual Violence Executive Board,002491e3fa300df5eed692e42788a7d0b07818a1217ab9e34c03319e2825cfe4
3,Ministry of Health,0ad5042ab43aaafa558ce8a40bc2f5d45ac305966b9580e82b2f80428e3c73c7
4,New Zealand Security Intelligence Service,1c2e583e9ea4fe540830fa1e8f5dca7d167fd29dc7adb193a9d199714e2f1c4a
5,New Zealand Defence Force,1e9746fa6a734e57bb8f4a66f5973366e31b3d1d35ae2de590434e4e22ecf4a4
6,Health New Zealand,242bfec50335bbee208ecb737e2e519714533dfbb4ff0644d228df11dba794da
7,Ministry for Culture and Heritage,262c39870824fc6ff59651b47a32e64f6b1834c6042301fd8381b64748f00c2d
8,Social Investment Agency,26bda34d9d03eba2c4bfa7b6121312d8e93d46ca23419a42e72b628891d8a2e5
9,Whaikaha,288ff2723cc578591d19ef80d240bd0c6a6533b0b9b27f3abc1cbd801b125b05
10,Crown Law Office,2bed10b2e1085dae01ab0f61db5a775c741883cfbc80e576d73661af5f8b0be6
11,Oranga Tamariki,2fc8ee05e3460df8dac47c574d5f045231582913519659153ef52ba1cf31b4ae
12,Department of Corrections,335fdd394e424d208cd704aa7e2bf6849dd5ff6cb362ed8c0b70ed00d020070c
13,Inland Revenue Department,3cebea7c204a31209d654a809d2f3c274ff09f5f4a7043b2df194fc3ae90e9d3
14,Ministry of Social Development,4375f11100f54cf216a6dc076a935fafbe48e2c157b5d7d6a7e8b9a574f12026
15,Cancer Control Agency,49a97e73c78dcfd9284aef4f945e55cc585f48de6d0c47b42cde0ea6b1a2f0a3
16,Ministry for Ethnic Communities,4d1839359ed0ad630500e2f69fb59ca6a27cdc570e42b83b4c4ef4da71a51749
17,"Ministry for Cities, Environment, Regions and Transport",540927e8bd705f382d7ad2144622e2741dc43e36a139a3fb30275c5deec7b9d8
18,Te Tari Whakatau,5ec65cd7115dad6d3fa202d53ee986637128cb5510746bfe91a52e94f14d852b
19,Ministry for Primary Industries,5fabab970f9c258bae7fe6390820b9717579edb90e105f90103803ee1179b871
20,New Zealand Police,61ccc3ba667c7ce36028523cc1ab459aa28646cee25c87575c83c41fe5443b0c
21,The Treasury,6e2b5e4b2af777ef874cbab080af25a6d8823183bf97e2618eae2f886e7b10f6
22,Aroturuki Tamariki,6e9431761087c20693aadeb352b941738f1f315e789b7f2a1000f53a74a3b36d
23,Natural Hazards Commission,73d4f0822cf3ad58e291aecb5f710790d9e7158bd0269ec79ce881b839ce1109
24,Parliamentary Counsel Office,762e2c1cc1371116ac32b68a7674385b93167228915ba24f87122eff84ccdda2
25,Ministry for Women,7b3ef3f05a9fc3591ff1e99a4f3af7ef6bf74afc182f220713e134f634e253d5
26,Public Service Commission,8d3fc6fd8c80f0fa1290d3c64023c067370336805113ee181446acf45c44b585
27,Charter School Agency,923bc6de2c01b07c12437e2e1a0c4d0f74e7dc4dbc1887355b8e1be9c14343d2
28,Serious Fraud Office,9628a352c5061a8c3a4532acc0634f27c212b0c3046014cb4981daa85f01ca17
29,Department of Conservation,a9146c7f088d9ccd71d2fb78842b68ead8e1115de618185b4fad6a897460b184
30,Ministry for Regulation,ab22623d483e00ff56ed879c8309d32c8e84fc8926c5dbb9889dd8fa89295759
31,Ministry of Education,b1695f75f1c6f0c3e8dbc0bcb42deaf564d2c6215bd822585841c4b04a8c0f81
32,Ministry of Justice,bd6135fab20f0de3c2cb8939fe2a0fb8ed33d270ad02851004f8c8efb07a8d43
33,National Emergency Management Agency,c0dd526f91489aef6a5c05e0f9c677d4558089f03a6953db0fa2f9d0d4ba846f
34,Land Information New Zealand,cd22e4144b52b9170de880d1d414d2f34fe43f58f38a46266802b9952a0b795e
35,Ministry of Foreign Affairs and Trade,d0879a826bf59c9a134d00937a6fd28b849e70dac0b755b474547d7e398f94aa
36,Ministry of Defence,da075c73570662845da6e2589205b276c4cb9c404092bbe5856faeac413cb388
37,Education Review Office,e16e46f9ed7ccf83aaf3f87429761dcc486b6115f288070612a3e0034e884651
38,New Zealand Customs Service,e17b0c836e21e8c30c020d1aca2db1b6c3c3b4becd6b8f957e60583fd78af7d9
39,Ministry for Pacific Peoples,e5e5889c9e8fea723f1217baae404600af1ae217f607b6495274cb6b92cfe78a
40,Department of the Prime Minister and Cabinet,e7bff4122e6d1138302acd9c14a807c058c158639d504197db525d778673f34a
41,"Ministry of Business, Innovation and Employment",e91d58812e36d6c787867c22a48e5a682c7a3e4ff5c8acf85b0aba2b0d566295
42,Department of Internal Affairs,f32fb90fd1406fe22b30e0b95295c34c2703fce5c106eeba4ecf62d93aaf032a
43,Stats NZ,f47ecf8b019599f64525432b2004cddf3449841ea619b9b1ea2341e666890b79
44,Financial Markets Authority,f697466fbe6892e3eefaec0219feed0ca3b21703fc707f24d72fb5192c08140d
45,Government Communications Security Bureau,fa2eafb7e55dd40a3be90cc22440e19f3c5f98be2758a8d0d957d4bd4732de23
