# FormFair Held-Out Evaluation Protocol v1.0, section 1
# source_url=https://www.digital.govt.nz/standards-and-guidance/nz-government-web-standards/centralised-web-accessibility-checker-cwac/website-scores-cwac
# retrieved_utc=2026-08-11T05:18:19Z
# scan_date=2026-06-30
# page_sha256=ac6a0c4eb5c6087c0766218808c7714974fd68220d0b02ddaaf9dbb212f2a933
# agencies=45
# websites=504
agency,website,url,score,change,pages_scanned,views_with_issues,total_issues,not_scanned
Aroturuki Tamariki,Aroturuki Tamariki,https://aroturuki.govt.nz/,0,-1,217,0,0,false
Cancer Control Agency,Kupe,https://kupe.net.nz/,100,0,17,17,382,false
Cancer Control Agency,Te Aho o Te Kahu,https://teaho.govt.nz/,100,0,156,156,8433,false
Charter School Agency,Charter School Agency,https://www.charterschools.govt.nz/,97,86,61,59,120,false
Crown Law Office,Crown Law,https://www.crownlaw.govt.nz/,100,0,85,85,6468,false
Department of Conservation,Bird Banding,https://app.birdbanding.doc.govt.nz/,0,0,3,0,0,false
Department of Conservation,DOC API Developer Portal,https://api.doc.govt.nz/,0,0,1,0,0,false
Department of Conservation,Infringements,https://paymyinfringement.doc.govt.nz/,0,0,1,0,0,false
Department of Conservation,DOC Careers,https://doc.wd105.myworkdayjobs.com/en-US/DOC/,3,2,40,2,4,false
Department of Conservation,My permits and licences,https://permits-licences.doc.govt.nz/,9,-7,22,2,298,false
Department of Conservation,Department of Conservation,https://www.doc.govt.nz/,21,-10,300,76,255,false
Department of Conservation,NZTCS,https://nztcs.org.nz/,30,-70,300,91,1267,false
Department of Conservation,Rangitahi /Molesworth,https://storymaps.arcgis.com/stories/907003437c504c9e9402420d05d59aeb,50,50,1,1,3,false
Department of Conservation,Conservation blog,https://blog.doc.govt.nz/,100,0,300,300,6724,false
Department of Conservation,DOC Booking Service,https://bookings.doc.govt.nz/web/,100,0,4,4,110,false
Department of Conservation,DOC Marine Data Portal,https://doc-marine-data-deptconservation.hub.arcgis.com/,100,100,1,1,2,false
Department of Conservation,DOC Open Spatial Data,https://doc-deptconservation.opendata.arcgis.com/,100,0,1,1,2,false
Department of Conservation,Kakapo Recovery,https://kakapo-recovery.raiselysite.com/,100,0,200,200,1006,false
Department of Conservation,PFNZ2050 Predator Control Application,https://deptconservation.maps.arcgis.com/apps/webappviewer/index.html?id=4299ffa07de9451994681b43b60ad95b,100,0,1,1,2,false
Department of Conservation,Cerberus Web Client,https://ftp.doc.govt.nz/login,Not scanned,N/A,0,N/A,N/A,true
Department of Corrections,Office of the Inspectorate,https://inspectorate.corrections.govt.nz/,8,-48,161,13,83,false
Department of Corrections,Department of Corrections,https://www.corrections.govt.nz/,18,-21,300,67,208,false
Department of Corrections,Careers at Corrections,https://mahi.corrections.govt.nz/,38,-12,24,9,54,false
Department of Corrections,Corrections Jobs in NZ,https://careers.corrections.govt.nz/,44,-16,241,177,580,false
